Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,TConexiones
2022,4,Buenos Aires,326,3,1,130,72,532
2022,4,Capital Federal,139,1,139,5,32,316
2022,4,Catamarca,9,11,47,1,2,70
2022,4,Chaco,25,61,47,8,3,144
2022,4,Chubut,45,74,10,31,9,169
2022,4,Córdoba,152,457,367,62,11,1049
2022,4,Corrientes,34,80,27,9,5,155
2022,4,Entre Ríos,56,136,41,26,13,272
2022,4,Formosa,14,17,13,18,227,289
2022,4,Jujuy,18,52,43,4,1,118
2022,4,La Pampa,8,61,25,20,1,115
2022,4,La Rioja,6,54,19,6,32,117
2022,4,Mendoza,38,78,147,28,2,293
2022,4,Misiones,33,87,47,11,8,186
2022,4,Neuquén,29,73,32,24,4,162
2022,4,Río Negro,34,48,44,16,19,161
2022,4,Salta,37,97,53,12,7,206
2022,4,San Juan,39,23,12,22,8,104
2022,4,San Luis,6,43,3,82,511,645
2022,4,Santa Cruz,10,24,12,4,662,712
2022,4,Santa Fe,164,412,249,44,19,888
2022,4,Santiago Del Estero,14,81,15,7,3,120
2022,4,Tierra Del Fuego,13,41,405,157,651,1267
2022,4,Tucumán,69,21,169,4,527,790
2022,3,Buenos Aires,340,3,1,127,70,541
2022,3,Capital Federal,141,1,129,6,32,309
2022,3,Catamarca,10,10,46,1,2,69
2022,3,Chaco,27,62,45,8,2,144
2022,3,Chubut,45,72,10,30,9,166
2022,3,Córdoba,164,465,339,61,10,1039
2022,3,Corrientes,37,77,19,7,5,145
2022,3,Entre Ríos,60,133,37,26,13,269
2022,3,Formosa,14,26,11,17,212,280
2022,3,Jujuy,19,53,40,4,2,118
2022,3,La Pampa,8,60,24,20,4,116
2022,3,La Rioja,7,54,20,6,31,118
2022,3,Mendoza,38,79,143,28,3,291
2022,3,Misiones,36,89,39,11,8,183
2022,3,Neuquén,29,76,29,27,1,162
2022,3,Río Negro,36,48,41,17,19,161
2022,3,Salta,40,97,50,10,7,204
2022,3,San Juan,39,23,12,22,8,104
2022,3,San Luis,7,29,248,71,15,370
2022,3,Santa Cruz,10,24,11,4,582,631
2022,3,Santa Fe,184,426,215,43,20,888
2022,3,Santiago Del Estero,15,81,13,7,3,119
2022,3,Tierra Del Fuego,13,40,403,125,651,1232
2022,3,Tucumán,78,19,162,4,519,782
2022,2,Buenos Aires,351,3,1,127,71,553
2022,2,Capital Federal,145,1,122,6,32,306
2022,2,Catamarca,12,9,42,1,2,66
2022,2,Chaco,30,61,42,8,2,143
2022,2,Chubut,45,69,10,30,9,163
2022,2,Córdoba,179,468,309,61,10,1027
2022,2,Corrientes,38,76,18,7,5,144
2022,2,Entre Ríos,64,131,36,26,13,270
2022,2,Formosa,15,25,10,17,212,279
2022,2,Jujuy,20,54,34,4,2,114
2022,2,La Pampa,8,59,23,20,1,111
2022,2,La Rioja,8,53,19,6,31,117
2022,2,Mendoza,38,78,136,27,2,281
2022,2,Misiones,37,89,34,11,8,179
2022,2,Neuquén,30,75,29,27,1,162
2022,2,Río Negro,36,47,41,17,19,160
2022,2,Salta,43,96,47,10,7,203
2022,2,San Juan,39,20,12,22,8,101
2022,2,San Luis,7,29,248,71,15,370
2022,2,Santa Cruz,10,24,11,4,579,628
2022,2,Santa Fe,198,428,190,43,20,879
2022,2,Santiago Del Estero,17,80,12,7,3,119
2022,2,Tierra Del Fuego,13,40,403,125,651,1232
2022,2,Tucumán,86,15,149,4,487,741
2022,1,Buenos Aires,392,3,1,126,67,589
2022,1,Capital Federal,102,1,62,6,30,201
2022,1,Catamarca,14,16,29,1,2,62
2022,1,Chaco,32,65,37,8,2,144
2022,1,Chubut,44,67,9,31,21,172
2022,1,Córdoba,196,502,236,61,10,1005
2022,1,Corrientes,40,79,11,7,5,142
2022,1,Entre Ríos,67,139,23,26,13,268
2022,1,Formosa,16,16,5,17,202,256
2022,1,Jujuy,21,61,26,5,4,117
2022,1,La Pampa,8,59,22,20,1,110
2022,1,La Rioja,9,59,10,6,31,115
2022,1,Mendoza,49,74,123,27,1,274
2022,1,Misiones,39,92,25,8,8,172
2022,1,Neuquén,28,73,24,23,745,893
2022,1,Río Negro,39,45,38,17,18,157
2022,1,Salta,45,99,41,6,7,198
2022,1,San Juan,34,14,11,21,8,88
2022,1,San Luis,8,11,31,72,29,151
2022,1,Santa Cruz,11,23,11,4,405,454
2022,1,Santa Fe,213,445,147,45,21,871
2022,1,Santiago Del Estero,18,88,1,6,3,116
2022,1,Tierra Del Fuego,13,39,416,124,340,932
2022,1,Tucumán,93,62,86,4,487,732
2021,4,Buenos Aires,426,3,1,127,73,630
2021,4,Capital Federal,111,1,60,6,30,208
2021,4,Catamarca,16,14,25,2,2,59
2021,4,Chaco,36,63,35,8,2,144
2021,4,Chubut,46,57,10,28,19,160
2021,4,Córdoba,212,487,217,61,9,986
2021,4,Corrientes,43,71,10,7,5,136
2021,4,Entre Ríos,70,133,23,25,13,264
2021,4,Formosa,17,15,5,16,172,225
2021,4,Jujuy,22,61,24,3,4,114
2021,4,La Pampa,8,58,20,19,1,106
2021,4,La Rioja,10,57,9,7,31,114
2021,4,Mendoza,60,72,110,25,2,269
2021,4,Misiones,42,92,22,8,8,172
2021,4,Neuquén,29,73,23,22,746,893
2021,4,Río Negro,42,44,32,17,18,153
2021,4,Salta,47,100,40,6,7,200
2021,4,San Juan,36,13,11,11,8,79
2021,4,San Luis,8,11,30,71,29,149
2021,4,Santa Cruz,11,23,10,4,417,465
2021,4,Santa Fe,233,444,129,44,16,866
2021,4,Santiago Del Estero,19,87,1,6,3,116
2021,4,Tierra Del Fuego,13,38,426,124,342,943
2021,4,Tucumán,98,59,79,3,486,725
2021,3,Buenos Aires,586,3,886,120,65,1660
2021,3,Capital Federal,143,1,43,6,29,222
2021,3,Catamarca,18,12,22,2,2,56
2021,3,Chaco,38,64,28,8,2,140
2021,3,Chubut,49,56,9,23,19,156
2021,3,Córdoba,229,477,167,58,15,946
2021,3,Corrientes,45,69,8,7,5,134
2021,3,Entre Ríos,74,129,20,24,13,260
2021,3,Formosa,18,14,5,16,171,224
2021,3,Jujuy,24,61,20,3,4,112
2021,3,La Pampa,9,58,18,14,1,100
2021,3,La Rioja,11,55,9,7,30,112
2021,3,Mendoza,91,71,71,22,828,1083
2021,3,Misiones,43,89,11,7,8,158
2021,3,Neuquén,30,74,16,19,640,779
2021,3,Río Negro,48,45,19,15,18,145
2021,3,Salta,49,98,36,6,6,195
2021,3,San Juan,40,13,7,11,8,79
2021,3,San Luis,8,12,27,69,29,145
2021,3,Santa Cruz,12,23,6,4,3,48
2021,3,Santa Fe,246,443,93,43,16,841
2021,3,Santiago Del Estero,20,86,909,6,3,1024
2021,3,Tierra Del Fuego,13,37,6,16,390,462
2021,3,Tucumán,104,54,71,2,743,974
2021,2,Buenos Aires,603,3,854,114,58,1632
2021,2,Capital Federal,149,1,41,6,29,226
2021,2,Catamarca,20,9,22,1,2,54
2021,2,Chaco,40,63,28,8,2,141
2021,2,Chubut,49,41,6,24,19,139
2021,2,Córdoba,240,468,152,56,16,932
2021,2,Corrientes,47,67,4,7,5,130
2021,2,Entre Ríos,78,125,18,24,13,258
2021,2,Formosa,20,13,4,16,171,224
2021,2,Jujuy,25,61,20,3,4,113
2021,2,La Pampa,9,57,17,13,1,97
2021,2,La Rioja,12,54,9,6,30,111
2021,2,Mendoza,92,71,45,22,827,1057
2021,2,Misiones,45,88,10,5,8,156
2021,2,Neuquén,30,73,16,19,640,778
2021,2,Río Negro,48,44,19,15,18,144
2021,2,Salta,51,96,32,6,6,191
2021,2,San Juan,40,12,7,11,8,78
2021,2,San Luis,8,11,28,67,36,150
2021,2,Santa Cruz,12,23,6,4,3,48
2021,2,Santa Fe,257,432,90,44,18,841
2021,2,Santiago Del Estero,21,84,909,5,4,1023
2021,2,Tierra Del Fuego,13,23,6,14,316,372
2021,2,Tucumán,110,48,72,2,743,975
2021,1,Buenos Aires,630,2,822,99,58,1611
2021,1,Capital Federal,160,1,40,6,29,236
2021,1,Catamarca,26,4,19,322,2,373
2021,1,Chaco,43,61,25,8,2,139
2021,1,Chubut,46,41,3,24,19,133
2021,1,Córdoba,260,445,135,54,17,911
2021,1,Corrientes,49,63,3,6,5,126
2021,1,Entre Ríos,84,118,17,21,12,252
2021,1,Formosa,21,11,3,16,380,431
2021,1,Jujuy,32,54,17,3,4,110
2021,1,La Pampa,9,59,16,12,1,97
2021,1,La Rioja,17,35,1,250,30,333
2021,1,Mendoza,92,69,39,18,833,1051
2021,1,Misiones,48,82,7,5,7,149
2021,1,Neuquén,30,70,14,18,632,764
2021,1,Río Negro,49,42,18,14,18,141
2021,1,Salta,55,89,31,6,6,187
2021,1,San Juan,40,12,7,11,8,78
2021,1,San Luis,8,11,28,64,36,147
2021,1,Santa Cruz,12,23,6,4,390,435
2021,1,Santa Fe,277,421,71,39,18,826
2021,1,Santiago Del Estero,26,76,570,5,4,681
2021,1,Tierra Del Fuego,13,27,6,0,316,362
2021,1,Tucumán,147,12,70,2,740,971
2020,4,Buenos Aires,636,2,805,93,58,1594
2020,4,Capital Federal,163,1,40,5,29,238
2020,4,Catamarca,27,5,18,322,2,374
2020,4,Chaco,44,61,24,8,2,139
2020,4,Chubut,46,40,3,23,19,131
2020,4,Córdoba,267,439,126,53,18,903
2020,4,Corrientes,50,61,3,6,5,125
2020,4,Entre Ríos,86,114,16,20,12,248
2020,4,Formosa,21,11,2,15,380,429
2020,4,Jujuy,33,53,16,1,3,106
2020,4,La Pampa,9,59,15,12,1,96
2020,4,La Rioja,18,35,1,250,30,334
2020,4,Mendoza,92,68,36,18,833,1047
2020,4,Misiones,49,80,7,4,7,147
2020,4,Neuquén,30,71,14,18,632,765
2020,4,Río Negro,49,42,18,14,18,141
2020,4,Salta,57,88,31,6,6,188
2020,4,San Juan,40,7,7,10,8,72
2020,4,San Luis,8,12,27,63,36,146
2020,4,Santa Cruz,12,20,1,5,3,41
2020,4,Santa Fe,287,415,63,39,17,821
2020,4,Santiago Del Estero,27,71,570,5,4,677
2020,4,Tierra Del Fuego,13,26,6,0,316,361
2020,4,Tucumán,149,11,68,2,740,970
2020,3,Buenos Aires,654,2,749,94,56,1555
2020,3,Capital Federal,170,1,39,4,29,243
2020,3,Catamarca,27,4,17,261,2,311
2020,3,Chaco,46,59,21,7,2,135
2020,3,Chubut,46,39,3,23,19,130
2020,3,Córdoba,276,431,102,48,10,867
2020,3,Corrientes,51,59,3,6,5,124
2020,3,Entre Ríos,88,107,14,20,12,241
2020,3,Formosa,22,10,2,15,393,442
2020,3,Jujuy,33,58,11,952,4,1058
2020,3,La Pampa,9,57,15,12,1,94
2020,3,La Rioja,17,35,1,250,35,338
2020,3,Mendoza,92,65,33,18,868,1076
2020,3,Misiones,50,78,3,3,9,143
2020,3,Neuquén,30,70,11,17,737,865
2020,3,Río Negro,50,40,10,13,18,131
2020,3,Salta,58,84,25,6,7,180
2020,3,San Juan,40,9,6,14,8,77
2020,3,San Luis,8,10,6,62,36,122
2020,3,Santa Cruz,13,16,1,7,2,39
2020,3,Santa Fe,295,406,46,37,19,803
2020,3,Santiago Del Estero,26,71,555,4,4,660
2020,3,Tierra Del Fuego,13,26,0,0,310,349
2020,3,Tucumán,150,12,60,2,762,986
2020,2,Buenos Aires,661,2,723,92,57,1535
2020,2,Capital Federal,179,1,39,4,29,252
2020,2,Catamarca,27,4,15,261,2,309
2020,2,Chaco,47,56,17,6,2,128
2020,2,Chubut,46,38,1,18,6,109
2020,2,Córdoba,283,415,86,45,8,837
